MOF,water_resistance
RSM3363,0.518290377151961
RSM3388,0.8073020683685096
RSM3369,0.29109405292489077
RSM3364,0.030296881149153455
RSM3355,0.908967144672366
RSM3305,0.12541676231703605
RSM3341,0.17386225586393791
RSM3337,0.9003890197797115
RSM3334,1.0481843453327975
RSM3324,0.007074197357098377
RSM3323,0.9984687028024998
RSM3320,0.8640191918279838
RSM3396,0.9784982012315012
RSM3399,0.1608519047096288
RSM3405,0.0524850943699125
RSM3408,0.07418641471767312
RSM3410,0.8310917822025358
RSM3415,0.7053040446808719
RSM3416,0.04747708888465761
RSM3420,0.2193847374244133
RSM3423,0.09027750365136751
RSM3442,0.9052725052725263
RSM3457,0.3164803840672168
RSM3317,0.7679244691441247
RSM3287,0.4071523540040228
RSM3469,0.7743164181530027
RSM3110,0.09406872585306697
RSM3148,0.05038796979900917
RSM3130,0.4532027394477862
RSM3126,0.04203460032120752
RSM3120,0.005966864700604571
RSM3092,0.009394555989221159
RSM3286,0.7881214417546188
RSM3084,0.026993330335092804
RSM3083,0.0054781019558967445
RSM3076,0.03306975254754361
RSM3065,0.6113292191382236
RSM3062,0.58641771054912
RSM3044,0.08356112177043984
RSM3159,0.3876207868078439
RSM3169,0.039235742755048056
RSM3180,0.08495321815095727
RSM3195,0.9119787545100041
RSM3205,0.010307215670314975
RSM3206,0.12595581768327221
RSM3256,0.40019931502248574
RSM3265,0.2855573933767358
RSM3273,0.0005543913737814326
RSM3275,0.06240306014389131
RSM3284,0.11183876919093183
RSM3468,0.0702921189321129
RSM3032,0.07576903727581563
RSM3830,0.024703411616842755
RSM3849,0.017494829625911628
RSM3846,0.7954507958875044
RSM3845,0.9425854108956391
RSM3843,0.8906613604937454
RSM3834,0.025926064307601533
RSM3775,0.06729788183401876
RSM3820,0.0051487176861794316
RSM3812,0.26356464635856314
RSM3801,0.010085636138181647
RSM3799,0.35850896646040536
RSM3796,0.6936836160136302
RSM3793,0.04437258632439876
RSM3860,0.5476706634692164
RSM3864,0.061187339413745635
RSM3865,0.02787472167456281
RSM3875,0.02170232761728198
RSM3889,0.8811648200804
RSM3891,0.24903322426119115
RSM3905,0.9826638661863708
RSM3908,0.32082131301937167
RSM3912,0.18012962207868463
RSM3918,0.6188207459264328
RSM3966,0.028945432532981083
RSM3971,0.1855796292159983
RSM3992,0.9129269145588064
RSM3993,0.5134083172135705
RSM3997,0.27061139517895205
RSM3784,0.4900946878001158
RSM3770,0.9203989393756661
RSM3478,0.015061149271234489
RSM3554,0.9485735823942093
RSM3610,0.1696263930525384
RSM3604,0.31832701367344823
RSM3596,0.025990744792579255
RSM3582,0.08002484774460594
RSM3565,0.025309145081482805
RSM3548,0.5166987867155708
RSM3766,0.594019597707101
RSM3546,0.09212240020408985
RSM3545,0.025489385799776918
RSM3517,0.05441786586377846
RSM3497,0.15169249104926866
RSM3485,0.10893462601747532
RSM3481,0.11996732355725498
RSM3616,0.9884465613233353
RSM3629,0.009956728653836957
RSM3630,0.12090204431171354
RSM3657,0.9693849127634672
RSM3683,1.1433850521231619
RSM3692,0.1318183364903627
RSM3704,0.046250790027263296
RSM3705,0.9229689419196351
RSM3706,0.045893545739260175
RSM3715,0.26629756815474104
RSM3735,0.49783002256776065
RSM3749,0.08581393800152817
RSM3754,0.7434939850448029
RSM3760,0.8972049916353713
RSM3761,0.1140043499314409
RSM3765,0.06305388212329895
RSM3040,0.34329198120142346
RSM4009,0.4902685307905473
RSM2497,0.39278921739126244
RSM2481,8.778842581061357e-05
RSM2477,0.0028807713944836457
RSM2476,0.15443174571201723
RSM2469,0.10591046324251294
RSM2459,0.0019583025089467436
RSM2454,0.19564234389308832
RSM2434,0.578224074775799
RSM2428,0.03312387163408348
RSM2425,0.0025574611689866003
RSM2424,0.37652665836416493
RSM2509,0.21257089343098312
RSM2513,0.025412944588257137
RSM2514,0.73144307148484
RSM2517,0.4734972677595701
RSM2518,0.9099197548934608
RSM2523,0.17259896209070172
RSM2573,0.202146987749366
RSM2615,0.22328445074841466
RSM2620,0.12254193556822378
RSM2622,0.794243244352316
RSM2629,0.009002324543727252
RSM2631,0.0032400407662049016
RSM2636,0.000858230097983704
RSM2655,0.1558383711702327
RSM2423,0.007354728062853628
RSM2401,0.0861925559439803
RSM2681,0.0318922749822825
RSM2247,0.015283909926085665
RSM2277,0.38742000377173524
RSM2270,0.01658834927098104
RSM2257,0.01820108094698868
RSM2254,0.16245640403106595
RSM2251,0.12619049925636946
RSM2250,0.020962222788880828
RSM2241,0.007913728559214675
RSM2400,0.5808693136972889
RSM2238,0.8581358075724164
RSM2224,0.058876392255114526
RSM2218,0.021270261539338173
RSM2207,0.9777923784494348
RSM2202,0.01110856910445023
RSM2282,0.06504212080400718
RSM2283,0.08657309650975306
RSM2297,0.07841879315855693
RSM2305,0.27512820512820846
RSM2317,0.46107724002728573
RSM2339,0.009150201105305091
RSM2343,0.01938093761452371
RSM2347,0.022540584497248186
RSM2357,0.8939928405320022
RSM2366,0.018106378403250835
RSM2378,0.01736078438785318
RSM2388,0.28573591418686783
RSM2666,0.05143653687488356
RSM2682,0.019946374970489393
RSM3015,0.6670321873530212
RSM2898,0.006324788528986643
RSM2924,0.30671785354832576
RSM2922,0.006965285627054654
RSM2910,0.9830474564515712
RSM2905,0.19612414267939166
RSM2904,0.004346748876517183
RSM2896,0.011073540245952269
RSM2850,0.07968248134084342
RSM2895,0.013479134409494702
RSM2891,0.0016563516594688495
RSM2882,0.02090891164544111
RSM2873,0.2574174878022551
RSM2861,0.33247899211964566
RSM2943,0.4048617258482744
RSM2953,0.036689651156231226
RSM2958,0.14983164983164754
RSM2965,0.06291702812228737
RSM2966,0.07048247644362096
RSM2972,0.9346205713446966
RSM2975,0.02408490051409737
RSM2981,0.07909361047499304
RSM2982,0.9547008322842344
RSM2985,0.0190255340985121
RSM2992,0.9096935063749063
RSM2998,0.0007102041462895572
RSM3003,0.018554671853511343
RSM3007,0.2853106390192804
RSM3012,0.11682119341234223
